Pipe ID,Pipe Name,Pipe Ownership,Row Number,Item,2010Q4,2011Q4,2012Q4,2013Q4,2014Q4,2015Q4,2016Q4,2017Q4,2018Q4,2019Q4,2020Q4,2021Q4,2022Q4,2023Q4,2024Q4
15,"Plains Pipeline, LP",PAA (100.000%),70,Return on Trended Original Cost Rate Base,70700720.1,76768413.79,77138261.5,0,0,0,0,0,0,0,0,,,,
15,"Plains Pipeline, LP",PAA (100.000%),71,Return on Rate Base - Debt Component - (line 5d x line 6a x line 6c),,,,20355197.6,30834404.67,40202475.56,43266955.03,43274120.07,49209752.02,43635241,55941976.18,39134963,10871615,10336712,11594131
15,"Plains Pipeline, LP",PAA (100.000%),72,Return on Rate Base - Equity Component - (line 5d x line 6b x line 6d),,,,80268461.94,98719601.62,101091488.2,116469176.7,163147082,178235443.5,186752311.9,178861845.3,214134759,63969005,52780211,51518710
15,"Plains Pipeline, LP",PAA (100.000%),73,Total Return on Rate Base - (line 7a + line 7b),,,,100623659.5,129554006.3,141293963.7,159736131.7,206421202.1,227445195.5,230387552.9,234803821.5,253269722,74840620,63116923,63112841
15,"Plains Pipeline, LP",PAA (100.000%),80,Income Tax Allowance,25654361,29672200,29154103,36056698,67861503,68040977,75397763,0,0,0,0,0,,,
15,"Plains Pipeline, LP",PAA (100.000%),81,Composite Tax Rate % (37.50% - 37.50),,,,28,37.67,37.16,37.02,0,0,0,0,0,,,
15,"Plains Pipeline, LP",PAA (100.000%),90,Total Cost of Service,355672008.1,374104132.8,381776176.5,412480601.5,569538344.3,622723898.7,540529928.7,493530750.1,524705399.5,517442518.9,478840148.5,473992129,241941529,222740284,252167576
15,"Plains Pipeline, LP",PAA (100.000%),100,Total Interstate Operating Revenues,275866167,290029966,336413008,360845849,390192771,370553427,325065388,333549816,372544808,402531235,360140057,412073602,206263217,241959233,218747493
15,"Plains Pipeline, LP",PAA (100.000%),110,Total Interstate Throughput in Barrels,478555467,481600650,537384171,565133700,624228300,635171713,627953309,613224571,585873248,650584550,574034934,523275930,280093575,294545998,304283326
15,"Plains Pipeline, LP",PAA (100.000%),120,Total Interstate Throughput in Barrel-Miles,1.03566E+11,95041942958,1.02426E+11,97509467286,1.04061E+11,1.01008E+11,1.02285E+11,1.11565E+11,94552461693,88278697571,68417989516,66311197698,50118952929,51755950314,53524296009
19,Amoco Capline Pipeline Company,BP (100.000%),10,Operating and Maintenance Expenses,2231077,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),20,Depreciation Expense,589932,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),30,AFUDC Depreciation,15139,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),40,Amortization of Deferred Earnings,385182,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),50,Rate Base,7199314,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),60,Rate of Return % (10.25% - 10.25),4.89,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),70,Return on Trended Original Cost Rate Base,352046.45,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),80,Income Tax Allowance,371020,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),90,Total Cost of Service,3944396.45,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),100,Total Interstate Operating Revenues,2636420,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),110,Total Interstate Throughput in Barrels,6512240,,,,,,,,,,,,,,
19,Amoco Capline Pipeline Company,BP (100.000%),120,Total Interstate Throughput in Barrel-Miles,2239153720,,,,,,,,,,,,,,
22,BP Pipelines (North America) Inc.,BP (100.000%),10,Operating and Maintenance Expenses,140096229,171673955,169178842,184495728,203172478,190651210,188473122,142017236,116892315,114886734,120216891,23793163,19424456,48989158,52454835
22,BP Pipelines (North America) Inc.,BP (100.000%),20,Depreciation Expense,15992282,9320121,9085297,6636383,8051977,7969592,9192899,9431804,11842340,6099836,6493764,657798,2644499,2494675,2890167
22,BP Pipelines (North America) Inc.,BP (100.000%),30,AFUDC Depreciation,1810258,934168,1148837,815393,971445,959267,1093787,1233754,1554110,708006,741359,123568,1425032,1307206,1457028
22,BP Pipelines (North America) Inc.,BP (100.000%),40,Amortization of Deferred Earnings,6961864,7266643,7480673,7490672,7531759,7563465,6959833,6767353,6849526,6914850,6961515,6922388,6040653,4788195,4448085
22,BP Pipelines (North America) Inc.,BP (100.000%),50,Rate Base,208592993,210268786,237442159,0,0,0,0,0,0,0,0,,,,
22,BP Pipelines (North America) Inc.,BP (100.000%),51,Rate Base - Original Cost,,,,179732279,192675025,189078891,190298913,115511951,162719361,189527399,207897895,32779368,42646165,45768044,51287167
22,BP Pipelines (North America) Inc.,BP (100.000%),52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,0,0,0,0,0,0,0,0,0,0,,
22,BP Pipelines (North America) Inc.,BP (100.000%),53,Rate Base - Accumulated Net Deferred Earnings,,,,97632574,91891248,86059985,83833780,81859609,78146390,75894297,71880794,68369302,64147174,62988772,60776255
22,BP Pipelines (North America) Inc.,BP (100.000%),54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,277364853,284566273,275138876,274132693,197371560,240865751,265421696,279778689,101148670,106793339,108756816,112063422
22,BP Pipelines (North America) Inc.,BP (100.000%),60,Rate of Return % (10.25% - 10.25),8,7.3,8.56,0,0,0,0,0,0,0,0,,,,
22,BP Pipelines (North America) Inc.,BP (100.000%),61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,10.02,11.12,14.84,18.6,16.04,20.47,22.21,23.26,8.2,8.19,8.29,10.39
22,BP Pipelines (North America) Inc.,BP (100.000%),62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,89.98,88.88,85.16,81.4,83.96,79.53,77.79,76.74,91.8,91.81,91.71,89.61
22,BP Pipelines (North America) Inc.,BP (100.000%),63,Rate of Return - Cost of Long Term Debt Capital,,,,3,3,3,3,4,4,4,3,3,3,4,4
22,BP Pipelines (North America) Inc.,BP (100.000%),64,Rate of Return - Real Cost of Stockholders’ Equity,,,,10.39,10.29,9.95,13.3,12.22,16.19,10.85,10.7,13.07,11.8,9.83,9.18
22,BP Pipelines (North America) Inc.,BP (100.000%),65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,9.65,9.48,8.92,11.38,10.9,13.69,9.33,8.91,12.24,11.07,9.34,8.64
22,BP Pipelines (North America) Inc.,BP (100.000%),70,Return on Trended Original Cost Rate Base,16687439.44,15349621.38,20325048.81,0,0,0,0,0,0,0,0,,,,
22,BP Pipelines (North America) Inc.,BP (100.000%),71,Return on Rate Base - Debt Component - (line 5d x line 6a x line 6c),,,,833758.75,949313.09,1224918.28,1529660.43,1266335.93,1972208.77,2358006.35,1952295.69,248825,262273,360652,465687
22,BP Pipelines (North America) Inc.,BP (100.000%),72,Return on Rate Base - Equity Component - (line 5d x line 6b x line 6d),,,,25930623.76,26025725.6,23313672.55,29678153.61,20250148.37,31013650.09,22402161.8,22973131.76,12136080,11570003,9804492,9218669
22,BP Pipelines (North America) Inc.,BP (100.000%),73,Total Return on Rate Base - (line 7a + line 7b),,,,26764382.51,26975038.69,24538590.82,31207814.04,21516484.3,32985858.86,24760168.15,24925427.45,12384905,11832276,10165144,9684356
22,BP Pipelines (North America) Inc.,BP (100.000%),80,Income Tax Allowance,13401770,12795097,15942829,18043303,18993205,17499098,20818754,15414892,10634484,7896459,8085487,4820302,5096620,4084407,3752557
22,BP Pipelines (North America) Inc.,BP (100.000%),81,Composite Tax Rate % (37.50% - 37.50),,,,36.3,36.3,36.3,36.3,36.3,22.58,22.58,0,22.58,22.58,22.58,22.58
22,BP Pipelines (North America) Inc.,BP (100.000%),90,Total Cost of Service,194949842.4,217339605.4,223161526.8,244245861.5,265695902.7,249181222.8,257746209,196381523.3,180758633.9,161266053.2,167424443.5,48702124,46463538,71828785,74687028
22,BP Pipelines (North America) Inc.,BP (100.000%),100,Total Interstate Operating Revenues,117129460,124057485,149561308,130935304,122807023,168530909,175390527,174097657,152182654,179741907,200785625,0,604885,9979373,12861020
22,BP Pipelines (North America) Inc.,BP (100.000%),110,Total Interstate Throughput in Barrels,219223805,164294207,181059841,158267035,192173898,269591753,267336489,258156281,143504664,150396945,152478298,0,228258,2567928,4232209
22,BP Pipelines (North America) Inc.,BP (100.000%),120,Total Interstate Throughput in Barrel-Miles,40123463620,46505659150,47517923340,35031687000,19411485370,36099701000,31895927180,36633192750,32096314390,31710857980,34073022140,0,114421150,1287250950,2094605000
27,BP Oil Pipeline Company,BP (100.000%),10,Operating and Maintenance Expenses,3585255,7566350,5194668,6938911,4335532,6292419,7296266,6569234,4652550,936208,,,,,
27,BP Oil Pipeline Company,BP (100.000%),20,Depreciation Expense,1277836,1263874,1243673,1249414,1249450,1128994,1021443,1002867,1002865,76244,,,,,
27,BP Oil Pipeline Company,BP (100.000%),30,AFUDC Depreciation,75736,86239,75594,75906,75889,68534,62033,60900,60922,9263,,,,,
27,BP Oil Pipeline Company,BP (100.000%),40,Amortization of Deferred Earnings,2066150,2042823,2060905,2079337,2089168,2094904,2103524,2092974,1857214,138649,,,,,
27,BP Oil Pipeline Company,BP (100.000%),50,Rate Base,38670893,35445941,33921191,0,0,0,0,0,0,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),51,Rate Base - Original Cost,,,,5171986,4357158,4172088,4943082,4107066,5248942,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,0,0,0,0,0,0,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),53,Rate Base - Accumulated Net Deferred Earnings,,,,27663638,25802941,23912009,22345861,20775953,19398663,19301988,,,,,
27,BP Oil Pipeline Company,BP (100.000%),54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,32835624,30160099,28084097,27288943,24883019,24647605,19301988,,,,,
27,BP Oil Pipeline Company,BP (100.000%),60,Rate of Return % (10.25% - 10.25),8.34,7.58,9.05,0,0,0,0,0,0,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,2.52,2.53,3.21,4.85,4.52,6.45,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,97.48,97.47,96.79,95.15,95.48,93.55,100,,,,,
27,BP Oil Pipeline Company,BP (100.000%),63,Rate of Return - Cost of Long Term Debt Capital,,,,3,3,3,3,4,4,0.33,,,,,
27,BP Oil Pipeline Company,BP (100.000%),64,Rate of Return - Real Cost of Stockholders’ Equity,,,,10.39,10.29,9.95,13.3,12.22,16.19,0.9,,,,,
27,BP Oil Pipeline Company,BP (100.000%),65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,10.2,10.11,9.73,12.8,11.85,15.4,0.9,,,,,
27,BP Oil Pipeline Company,BP (100.000%),70,Return on Trended Original Cost Rate Base,3225152.48,2686802.33,3069867.79,0,0,0,0,0,0,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),71,Return on Rate Base - Debt Component - (line 5d x line 6a x line 6c),,,,24823.73,22891.52,27044.99,39705.41,44988.5,63590.82,0,,,,,
27,BP Oil Pipeline Company,BP (100.000%),72,Return on Rate Base - Equity Component - (line 5d x line 6b x line 6d),,,,3325648.48,3024956.29,2704668.45,3453402.09,2903265.06,3733063.4,173717.89,,,,,
27,BP Oil Pipeline Company,BP (100.000%),73,Total Return on Rate Base - (line 7a + line 7b),,,,3350472.21,3047847.81,2731713.44,3493107.5,2948253.56,3796654.22,173717.89,,,,,
27,BP Oil Pipeline Company,BP (100.000%),80,Income Tax Allowance,2775117,2622428,2861932,2966045,2824101,2557222,2997319,2759226,1801636,151249,,,,,
27,BP Oil Pipeline Company,BP (100.000%),81,Composite Tax Rate % (37.50% - 37.50),,,,36.95,36.95,36.95,36.95,36.95,23.37,23.37,,,,,
27,BP Oil Pipeline Company,BP (100.000%),90,Total Cost of Service,13005246.48,16268516.33,14506639.79,16660085.21,13621987.81,14873786.44,16973692.5,15433454.56,13171841.22,1485330.89,,,,,
27,BP Oil Pipeline Company,BP (100.000%),100,Total Interstate Operating Revenues,18098191,11015534,5336804,8727258,3075458,4508629,15938023,4163610,2451925,28648,,,,,
27,BP Oil Pipeline Company,BP (100.000%),110,Total Interstate Throughput in Barrels,22158359,13476179,6426273,8679274,4225657,4493931,14815241,3965929,3781308,199968,,,,,
27,BP Oil Pipeline Company,BP (100.000%),120,Total Interstate Throughput in Barrel-Miles,13870944160,8303081490,3838194450,5364816000,2007557000,2657454000,9043506200,2324006950,143877210,199968,,,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",10,Operating and Maintenance Expenses,8893703,14757366,25939792,26342927,33624149,56062923,65306528,67497159,67244937,66057691,60946780,56024632,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",20,Depreciation Expense,1497260,2396527,2779306,3161112,3958569,5470209,5932541,6078321,6253308,6501781,7257961,7093004,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",30,AFUDC Depreciation,,,581191,0,0,0,0,0,325914,325078,350356,361164,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",40,Amortization of Deferred Earnings,527490,758951,0,505381,375081,364715,488026,597479,699697,805877,850775,1319164,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",50,Rate Base,25712406,43525015,73854568,0,0,0,0,0,0,0,0,,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",51,Rate Base - Original Cost,,,,71468988,102797803,118715869,123005332,126629553,108264383,110685848,112619146,106189112,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,-38202,-34754,-32406,-30347,-28320,-26408,-24590,-22866,-21241,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",53,Rate Base - Accumulated Net Deferred Earnings,,,,5114461,5198625,5397788,6851677,8292960,9515937,10754665,11190732,16435934,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,76545247,107961674,124081251,129826662,134894193,117753912,121415923,123787012,122603805,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",60,Rate of Return % (10.25% - 10.25),11.65,11.5,11.5,0,0,0,0,0,0,0,0,,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,0,0,0,0,0,0,0,0,25,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,100,100,100,100,100,100,100,100,75,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",63,Rate of Return - Cost of Long Term Debt Capital,,,,0,0,0,0,0,0,0,0,2.11,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",64,Rate of Return - Real Cost of Stockholders’ Equity,,,,11.03,11.3,11.78,11.56,11.83,11.9,12.55,12.42,11.77,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,11.03,11.3,11.78,11.56,11.83,11.9,12.55,12.42,9.36,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",70,Return on Trended Original Cost Rate Base,2995495.3,5005376.73,8493275.32,0,0,0,0,0,0,0,0,,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",71,Return on Rate Base - Debt Component - (line 5d x line 6a x line 6c),,,,0,0,0,0,0,0,0,0,646735,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",72,Return on Rate Base - Equity Component - (line 5d x line 6b x line 6d),,,,8442940.74,12199669.16,14616771.37,15007962.13,15957983.03,14012715.53,15237698.34,15374346.89,10822850,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",73,Total Return on Rate Base - (line 7a + line 7b),,,,8442940.74,12199669.16,14616771.37,15007962.13,15957983.03,14012715.53,15237698.34,15374346.89,11469585,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",80,Income Tax Allowance,6115865,3557030,5319008,6192663,8630562,10176422,10507812,11149545,6275201,6721321,7009101,5444778,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",81,Composite Tax Rate % (37.50% - 37.50),,,,40.9,40.7,40.45,40.41,40.24,29.56,29.22,29.84,30.35,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",90,Total Cost of Service,20029813.3,26475250.73,43112572.32,44645023.74,58788030.16,86691040.37,97242869.13,101280487,94811772.53,95649446.34,91789319.89,81712327,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",100,Total Interstate Operating Revenues,16567993,18039041,34889109,42138822,63817141,124378626,127444300,124692896,98247166,98867463,82333930,78138977,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",110,Total Interstate Throughput in Barrels,32315778,6761158,63968666,73519535,110066957,164324250,149356740,128240341,135505250,127457828,112723158,119562601,,,
30,Belle Fourche Pipeline Company,"True Companies, Inc. (100.000%)",120,Total Interstate Throughput in Barrel-Miles,432775622,913627110,827118650,995773496,3320007444,10218553722,11794095763,12546507356,12508136939,11088294857,9965690883,10709794582,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),10,Operating and Maintenance Expenses,632133,944000,38075,3882,13594,55908,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),20,Depreciation Expense,1051538,1055000,47822,4495,16148,65422,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),30,AFUDC Depreciation,,,,0,0,0,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),40,Amortization of Deferred Earnings,137698,147572,6300,609,2597,9188,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),50,Rate Base,29333101,29196687,1307769,0,0,0,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),51,Rate Base - Original Cost,,,,122781,444576,1760865,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,0,0,0,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),53,Rate Base - Accumulated Net Deferred Earnings,,,,31,111,443,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,122812,444687,1761308,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),60,Rate of Return % (10.25% - 10.25),9.2,6.7,7.22,0,0,0,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,52.8,47.96,52.53,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,47.2,52.04,47.47,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),63,Rate of Return - Cost of Long Term Debt Capital,,,,5.8,4.8,4.7,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),64,Rate of Return - Real Cost of Stockholders’ Equity,,,,11.5,10.29,9.95,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,8.49,7.66,7.19,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),70,Return on Trended Original Cost Rate Base,2698645.29,1956178.03,94420.92,0,0,0,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),71,Return on Rate Base - Debt Component - (line 5d x line 6a x line 6c),,,,3760.99,10237.05,43485.11,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),72,Return on Rate Base - Equity Component - (line 5d x line 6b x line 6d),,,,6666.24,23812.62,83191.24,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),73,Total Return on Rate Base - (line 7a + line 7b),,,,10427.23,34049.67,126676.35,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),80,Income Tax Allowance,851669,536330,29899,3542,12535,43979,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),81,Composite Tax Rate % (37.50% - 37.50),,,,32,31.66,31.67,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),90,Total Cost of Service,5371683.29,4639080.03,216516.92,22955.23,78923.67,301173.35,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),100,Total Interstate Operating Revenues,1233068,1627000,143141,24995,47423,244031,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),110,Total Interstate Throughput in Barrels,5697714,6964508,387423,43990,116950,575410,,,,,,,,,
31,"Belle Rose NGL Pipeline, L.L.C.",EPD (100.000%),120,Total Interstate Throughput in Barrel-Miles,273490272,334296384,18208881,2111520,5613600,27656842,,,,,,,,,
32,Black Lake Pipeline Company,DCP (100.000%),10,Operating and Maintenance Expenses,2202221,2121776,2623476,2836237,1422779,4085629,5593548,6588870,5930909,6004285,5565519,6666440,6693635,3247275,4216190
32,Black Lake Pipeline Company,DCP (100.000%),20,Depreciation Expense,691239,686473,804828,1058677,688385,1393161,1367121,1381998,1369811,1410477,1264289,1307879,1131212,1002367,1130557
32,Black Lake Pipeline Company,DCP (100.000%),30,AFUDC Depreciation,29949,29303,30633,32617,27458,36440,36760,37267,36672,36095,34998,34001,31119,28925,28972
32,Black Lake Pipeline Company,DCP (100.000%),40,Amortization of Deferred Earnings,122754,125154,128100,147499,126380,174250,181445,219858,229463,238546,240464,239321,225520,216563,218892
32,Black Lake Pipeline Company,DCP (100.000%),50,Rate Base,16361268,15917775,18504082,19948229,0,0,0,0,0,0,0,,,,
32,Black Lake Pipeline Company,DCP (100.000%),51,Rate Base - Original Cost,,,,,15166470,30317401,27727188,32207568,30622432,28725066,26552912,24198891,21046322,18521250,17656038
32,Black Lake Pipeline Company,DCP (100.000%),52,Rate Base - Unamortized Starting Rate Base Write-Up,,,,,0,0,0,0,0,0,0,,,,
32,Black Lake Pipeline Company,DCP (100.000%),53,Rate Base - Accumulated Net Deferred Earnings,,,,,3392870,4515062,4728087,5866249,6068606,6247478,6043458,5868650,5454233,5125398,5188151
32,Black Lake Pipeline Company,DCP (100.000%),54,Total Rate Base -Trended Original Cost - (line 5a + line 5b + line 5c),,,,,18559340,34832463,32455275,38073817,36691038,34972544,32596370,30067541,26500556,23646648,22844189
32,Black Lake Pipeline Company,DCP (100.000%),60,Rate of Return % (10.25% - 10.25),8.36,8.58,7.18,8.1,0,0,0,0,0,0,0,,,,
32,Black Lake Pipeline Company,DCP (100.000%),61,Rate of Return - Adjusted Capital Structure Ratio for Long Term Debt,,,,,35.51,51.68,34.27,32.86,33.11,36.67,43.68,3800,33,41,40.19
32,Black Lake Pipeline Company,DCP (100.000%),62,Rate of Return - Adjusted Capital Structure Ratio for Stockholders’ Equity,,,,,64.49,48.32,65.73,67.14,66.89,63.33,56.32,6200,67,59,59.81
32,Black Lake Pipeline Company,DCP (100.000%),63,Rate of Return - Cost of Long Term Debt Capital,,,,,3.8,3.55,3.74,5.8,5.2,5.26,5.26,500,5,5,4.87
32,Black Lake Pipeline Company,DCP (100.000%),64,Rate of Return - Real Cost of Stockholders’ Equity,,,,,11,11,11,11,11,11,11,1300,12,10,9.18
32,Black Lake Pipeline Company,DCP (100.000%),65,Rate of Return - Weighted Average Cost of Capital - (line 6a x line 6c + line 6b x line 6d),,,,,8.44,7.15,8.51,9.29,9.08,8.9,8.49,101261,10,8,7.45
